model,topic,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,word_14,word_15,word_16,word_17,word_18,word_19,word_20
lda_model_7,1,father,mother,child,santa,married,fe,town,dad,girl,brother,kid,husband,bus,road,barrack,wonderful,camp,hall,sister,hill
lda_model_7,2,grove,barrier,engineering,equipment,diffusion,metal,operation,president,nichols,design,committee,decision,construction,york,dupont,keith,lawrence,chemical,columbia,colonel
lda_model_7,3,fermi,szilard,reactor,chemistry,plutonium,student,wigner,experiment,pile,reaction,science,professor,neutron,chain,enrico,graduate,hanford,dupont,dr,chemist
lda_model_7,4,hanford,richland,river,dupont,waste,construction,000,reactor,land,pasco,town,tank,columbia,00,study,worker,report,cleanup,camp,law
lda_model_7,5,reactor,plutonium,radiation,fuel,power,hanford,design,neutron,element,chemical,facility,dupont,system,tube,radioactive,operation,separation,level,engineering,rod
lda_model_7,6,oppenheimer,weapon,teller,robert,science,soviet,russian,student,hydrogen,term,edward,berkeley,committee,president,inaudible,communist,example,french,party,fuchs
lda_model_7,7,japanese,japan,mission,plane,weapon,hiroshima,force,german,nagasaki,grove,dropped,crew,000,b,airplane,ship,bombing,truman,island,germany
lda_model_30,1,child,father,husband,mother,santa,indian,town,fe,wonderful,robert,hospital,brother,doctor,dr,camp,radiation,died,happy,mexico,married
lda_model_30,2,metal,plutonium,temperature,steel,form,powder,graphite,assembly,alpha,oxide,inch,metallurgy,gram,heat,pure,alloy,copper,core,essentially,operation
lda_model_30,3,szilard,fermi,reactor,wigner,reaction,chain,science,plutonium,einstein,student,enrico,leo,graphite,chemistry,letter,professor,german,control,dr,nobel
lda_model_30,4,hanford,russian,president,bush,issue,conant,lawyer,stimson,report,trial,document,soviet,public,tom,secretary,decision,judge,study,law,director
lda_model_30,5,radiation,plutonium,radioactive,reactor,neutron,element,cancer,study,isotope,health,ray,hanford,facility,iodine,cell,body,power,sample,science,national
lda_model_30,6,weapon,teller,hydrogen,oppenheimer,russian,soviet,fission,committee,edward,thermonuclear,design,explosive,shot,neutron,yield,force,plutonium,division,explosion,radiation
lda_model_30,7,japanese,japan,weapon,hiroshima,truman,grove,soviet,surrender,nagasaki,1945,decision,marshall,bombing,atom,invasion,000,plutonium,emperor,germany,force
lda_model_30,8,plutonium,ship,oppenheimer,grove,laughter,trinity,chemistry,civilian,radioactive,officer,fellow,instrument,gun,explosive,dropped,leader,experiment,barrack,york,division
lda_model_30,9,santa,fe,dorothy,hotel,mexico,bus,brother,la,wonderful,fonda,oppenheimer,mckibbin,community,indian,barrack,hill,road,town,east,palace
lda_model_30,10,chemistry,barrier,berkeley,plutonium,columbia,chemist,lawrence,heavy,chemical,father,separation,cyclotron,method,experiment,fermi,dunning,urey,science,kellex,pressure
lda_model_30,11,camp,fire,station,barrack,laugh,officer,trinity,fe,ahead,santa,grove,civilian,core,fellow,glass,mp,mexico,hall,mess,lieutenant
lda_model_30,12,uh,huh,pump,instrument,vacuum,operation,heat,metal,chemical,oxide,clean,thermal,herb,girl,reactor,measurement,tube,john,temperature,ed
lda_model_30,13,father,mother,child,dad,kid,sister,parent,husband,married,teacher,student,died,brother,son,york,class,grade,grandfather,wonderful,hospital
lda_model_30,14,french,german,france,germany,british,curie,scientific,jew,paris,science,mission,refugee,nazi,communist,europe,weapon,difficult,team,radium,de
lda_model_30,15,reactor,richland,rod,hanford,fuel,dupont,control,graphite,b,safety,tube,power,plutonium,level,pile,forth,system,john,construction,design
lda_model_30,16,grove,engineering,dupont,nichols,colonel,district,committee,president,barrier,keith,construction,mr,officer,decision,design,york,000,operation,diffusion,organization
lda_model_30,17,soviet,heisenberg,communist,oppenheimer,fuchs,source,neutron,german,party,fbi,theory,british,espionage,facility,spy,moscow,germany,intelligence,quantum,term
lda_model_30,18,12,k,25,town,tennessee,235,equipment,diffusion,engineering,training,ground,grove,000,bus,system,camera,reactor,operation,tank,ship
lda_model_30,19,force,experiment,gold,fuchs,interview,contact,unit,command,wendover,document,base,york,accident,anti,colonel,report,grove,laughter,frisch,weapon
lda_model_30,20,bell,000,valve,land,hanford,river,japanese,resource,generation,native,japan,columbia,mountain,cultural,culture,root,animal,lost,knowledge,kid
lda_model_30,21,oppenheimer,robert,teller,berkeley,princeton,inaudible,kitty,party,student,letter,edward,institute,hearing,oppie,science,grove,lawrence,term,member,perhaps
lda_model_30,22,science,community,museum,weapon,ii,national,black,folk,term,technology,town,example,opportunity,white,hanford,within,effort,basic,mit,often
lda_model_30,23,hanford,barrack,00,construction,richland,camp,b,hall,pasco,church,white,bluff,yakima,dupont,town,trailer,suppose,river,fellow,operation
lda_model_30,24,equipment,tube,mr,c,unit,sleep,division,enjoyed,dam,clean,training,recall,ride,charlie,dancing,3,power,court,seemed,k
lda_model_30,25,hanford,reactor,dupont,waste,design,plutonium,river,tank,chemical,facility,separation,engineering,radiation,operation,level,cleanup,cell,wilmington,construction,columbia
lda_model_30,26,plane,mission,crew,airplane,b,pilot,tinian,29,training,wendover,reunion,dropped,hiroshima,flew,colonel,island,flight,nagasaki,japan,gay
lda_model_30,27,girl,bus,married,road,food,dance,badge,forth,hill,hall,valley,civilian,happy,santa,guard,laughter,train,service,mother,truck
lda_model_30,28,construction,hanford,dupont,union,labor,engineering,powder,division,manager,manpower,kansa,carpenter,explosive,craft,grove,commission,aluminum,000,train,priority
lda_model_30,29,reactor,fuel,power,weapon,system,technology,electricity,generation,element,pressure,national,salt,gas,industry,essentially,design,france,light,issue,ultimately
lda_model_30,30,fermi,neutron,student,experiment,fission,reaction,theoretical,oppenheimer,pile,enrico,professor,bohr,experimental,measurement,graduate,compton,member,calculation,ray,cambridge
lda_model_90,1,mother,happy,father,child,indian,husband,laughter,brother,tennis,colonel,santa,radiation,town,married,white,officer,cell,blood,dr,sister
lda_model_90,2,metal,plutonium,powder,form,gram,quantity,gold,steel,metallurgy,leader,temperature,box,alloy,pure,glove,division,essentially,huh,oxide,shape
lda_model_90,3,reactor,wigner,szilard,plutonium,engineering,hanford,design,argonne,national,hospital,dupont,fermi,chemical,power,chemistry,graphite,10,letter,reaction,science
lda_model_90,4,bush,decision,grove,president,committee,stimson,conant,marshall,diffusion,secretary,lawrence,example,barrier,keith,nichols,report,million,plutonium,electromagnetic,particularly
lda_model_90,5,plutonium,element,reactor,chemistry,solution,radiation,chemical,gas,hanford,radioactive,seaborg,inch,release,sample,acid,foot,stop,facility,operation,control
lda_model_90,6,weapon,division,medical,national,technology,neutron,power,museum,dr,commission,mass,radiation,tennessee,union,source,president,training,changed,public,hospital
lda_model_90,7,weapon,marshall,japanese,japan,truman,grove,surrender,soviet,force,invasion,bombing,bomber,german,1945,emperor,russian,secretary,science,hiroshima,decision
lda_model_90,8,instrument,oppenheimer,grove,dr,laughter,hundred,corp,firm,leader,carbon,industry,chemical,developed,dollar,section,officer,radioactive,father,learned,sold
lda_model_90,9,santa,fe,mexico,road,bus,spanish,brother,mr,canyon,indian,pueblo,truck,mother,albuquerque,oppenheimer,mail,dorothy,community,kid,san
lda_model_90,10,berkeley,caltech,lawrence,barrier,feynman,foot,student,keith,british,plutonium,percent,inaudible,chemical,columbia,professor,urey,station,princeton,decision,heavy
lda_model_90,11,camp,laugh,isotope,ahead,element,trinity,fellow,bush,barrack,mess,mp,hall,grove,officer,hot,mexico,desert,horse,road,mother
lda_model_90,12,metal,heat,uh,huh,aluminum,operation,slug,girl,hanford,temperature,reactor,pile,alloy,surface,chemical,phase,rod,thermal,gi,machine
lda_model_90,13,father,mother,child,dad,sister,parent,married,kid,husband,wonderful,brother,died,son,grade,teacher,loved,hospital,student,oppenheimer,girl
lda_model_90,14,dunning,instrument,engineering,mass,method,gas,development,kellex,york,columbia,difficulty,barrier,student,electric,leak,instance,valve,developed,electrical,contact
lda_model_90,15,joe,forth,married,laugh,santa,plutonium,reactor,chemistry,oppenheimer,fe,train,fellow,badge,mail,wonderful,berkeley,hey,crawford,system,door
