name,main_topic_7,main_topic_30,main_topic_90,words_topic_7,words_topic_30,words_topic_90
A.J.Connell,1,13,13,"['father', 'mother', 'child', 'santa', 'married', 'fe', 'town', 'dad', 'girl', 'brother', 'kid', 'husband', 'bus', 'road', 'barrack', 'wonderful', 'camp', 'hall', 'sister', 'hill']","['father', 'mother', 'child', 'dad', 'kid', 'sister', 'parent', 'husband', 'married', 'teacher', 'student', 'died', 'brother', 'son', 'york', 'class', 'grade', 'grandfather', 'wonderful', 'hospital']","['father', 'mother', 'child', 'dad', 'sister', 'parent', 'married', 'kid', 'husband', 'wonderful', 'brother', 'died', 'son', 'grade', 'teacher', 'loved', 'hospital', 'student', 'oppenheimer', 'girl']"
Aaron,1,15,17,"['father', 'mother', 'child', 'santa', 'married', 'fe', 'town', 'dad', 'girl', 'brother', 'kid', 'husband', 'bus', 'road', 'barrack', 'wonderful', 'camp', 'hall', 'sister', 'hill']","['reactor', 'richland', 'rod', 'hanford', 'fuel', 'dupont', 'control', 'graphite', 'b', 'safety', 'tube', 'power', 'plutonium', 'level', 'pile', 'forth', 'system', 'john', 'construction', 'design']","['facility', 'reactor', 'neutron', 'source', 'kelly', 'science', 'america', 'russia', 'technology', 'wow', 'term', 'accelerator', 'communist', 'forth', 'example', 'chief', 'civilian', 'useful', 'japan', 'role']"
Abbott,2,16,14,"['grove', 'barrier', 'engineering', 'equipment', 'diffusion', 'metal', 'operation', 'president', 'nichols', 'design', 'committee', 'decision', 'construction', 'york', 'dupont', 'keith', 'lawrence', 'chemical', 'columbia', 'colonel']","['grove', 'engineering', 'dupont', 'nichols', 'colonel', 'district', 'committee', 'president', 'barrier', 'keith', 'construction', 'mr', 'officer', 'decision', 'design', 'york', '000', 'operation', 'diffusion', 'organization']","['dunning', 'instrument', 'engineering', 'mass', 'method', 'gas', 'development', 'kellex', 'york', 'columbia', 'difficulty', 'barrier', 'student', 'electric', 'leak', 'instance', 'valve', 'developed', 'electrical', 'contact']"
AbdulQadeerKhan,6,4,4,"['oppenheimer', 'weapon', 'teller', 'robert', 'science', 'soviet', 'russian', 'student', 'hydrogen', 'term', 'edward', 'berkeley', 'committee', 'president', 'inaudible', 'communist', 'example', 'french', 'party', 'fuchs']","['hanford', 'russian', 'president', 'bush', 'issue', 'conant', 'lawyer', 'stimson', 'report', 'trial', 'document', 'soviet', 'public', 'tom', 'secretary', 'decision', 'judge', 'study', 'law', 'director']","['bush', 'decision', 'grove', 'president', 'committee', 'stimson', 'conant', 'marshall', 'diffusion', 'secretary', 'lawrence', 'example', 'barrier', 'keith', 'nichols', 'report', 'million', 'plutonium', 'electromagnetic', 'particularly']"
Abe,2,21,89,"['grove', 'barrier', 'engineering', 'equipment', 'diffusion', 'metal', 'operation', 'president', 'nichols', 'design', 'committee', 'decision', 'construction', 'york', 'dupont', 'keith', 'lawrence', 'chemical', 'columbia', 'colonel']","['oppenheimer', 'robert', 'teller', 'berkeley', 'princeton', 'inaudible', 'kitty', 'party', 'student', 'letter', 'edward', 'institute', 'hearing', 'oppie', 'science', 'grove', 'lawrence', 'term', 'member', 'perhaps']","['engine', 'division', 'trailer', 'computer', 'camp', 'brother', 'husband', 'chuckle', 'edward', 'wow', 'crew', 'inaudible', 'kid', 'card', 'barrack', 'bridge', 'clean', 'horse', 'construction', 'cut']"
AbeBrothman,6,19,19,"['oppenheimer', 'weapon', 'teller', 'robert', 'science', 'soviet', 'russian', 'student', 'hydrogen', 'term', 'edward', 'berkeley', 'committee', 'president', 'inaudible', 'communist', 'example', 'french', 'party', 'fuchs']","['force', 'experiment', 'gold', 'fuchs', 'interview', 'contact', 'unit', 'command', 'wendover', 'document', 'base', 'york', 'accident', 'anti', 'colonel', 'report', 'grove', 'laughter', 'frisch', 'weapon']","['force', 'fuchs', 'gold', 'interview', 'command', 'contact', 'wendover', 'base', 'document', 'fbi', 'colonel', 'anti', 'york', 'grove', '18', 'submarine', 'accident', 'report', 'unit', 'experiment']"
AbeFortas,4,4,21,"['hanford', 'richland', 'river', 'dupont', 'waste', 'construction', '000', 'reactor', 'land', 'pasco', 'town', 'tank', 'columbia', '00', 'study', 'worker', 'report', 'cleanup', 'camp', 'law']","['hanford', 'russian', 'president', 'bush', 'issue', 'conant', 'lawyer', 'stimson', 'report', 'trial', 'document', 'soviet', 'public', 'tom', 'secretary', 'decision', 'judge', 'study', 'law', 'director']","['oppenheimer', 'play', 'theater', 'letter', 'essentially', 'wilson', 'regret', 'film', 'act', 'written', 'york', 'szilard', 'teller', 'named', 'reading', 'music', 'write', 'impression', 'level', 'fine']"
AbeKrash,2,23,23,"['grove', 'barrier', 'engineering', 'equipment', 'diffusion', 'metal', 'operation', 'president', 'nichols', 'design', 'committee', 'decision', 'construction', 'york', 'dupont', 'keith', 'lawrence', 'chemical', 'columbia', 'colonel']","['hanford', 'barrack', '00', 'construction', 'richland', 'camp', 'b', 'hall', 'pasco', 'church', 'white', 'bluff', 'yakima', 'dupont', 'town', 'trailer', 'suppose', 'river', 'fellow', 'operation']","['00', 'laugh', 'b', 'plane', 'tube', 'island', 'trouble', 'pacific', 'engine', 'inch', 'form', 'force', 'reactor', 'aircraft', 'operation', 'base', 'shift', 'japan', 'east', 'train']"
AbeSpitzer,1,26,27,"['father', 'mother', 'child', 'santa', 'married', 'fe', 'town', 'dad', 'girl', 'brother', 'kid', 'husband', 'bus', 'road', 'barrack', 'wonderful', 'camp', 'hall', 'sister', 'hill']","['plane', 'mission', 'crew', 'airplane', 'b', 'pilot', 'tinian', '29', 'training', 'wendover', 'reunion', 'dropped', 'hiroshima', 'flew', 'colonel', 'island', 'flight', 'nagasaki', 'japan', 'gay']","['girl', 'food', 'bus', 'married', 'suppose', 'dance', 'village', 'valley', 'road', 'apparatus', 'dad', 'child', 'happy', '1947', 'ration', 'factory', 'wedding', 'laughter', 'laugh', 'hall']"
Abel,1,13,13,"['father', 'mother', 'child', 'santa', 'married', 'fe', 'town', 'dad', 'girl', 'brother', 'kid', 'husband', 'bus', 'road', 'barrack', 'wonderful', 'camp', 'hall', 'sister', 'hill']","['father', 'mother', 'child', 'dad', 'kid', 'sister', 'parent', 'husband', 'married', 'teacher', 'student', 'died', 'brother', 'son', 'york', 'class', 'grade', 'grandfather', 'wonderful', 'hospital']","['father', 'mother', 'child', 'dad', 'sister', 'parent', 'married', 'kid', 'husband', 'wonderful', 'brother', 'died', 'son', 'grade', 'teacher', 'loved', 'hospital', 'student', 'oppenheimer', 'girl']"
AbelDahaan,3,4,4,"['fermi', 'szilard', 'reactor', 'chemistry', 'plutonium', 'student', 'wigner', 'experiment', 'pile', 'reaction', 'science', 'professor', 'neutron', 'chain', 'enrico', 'graduate', 'hanford', 'dupont', 'dr', 'chemist']","['hanford', 'russian', 'president', 'bush', 'issue', 'conant', 'lawyer', 'stimson', 'report', 'trial', 'document', 'soviet', 'public', 'tom', 'secretary', 'decision', 'judge', 'study', 'law', 'director']","['bush', 'decision', 'grove', 'president', 'committee', 'stimson', 'conant', 'marshall', 'diffusion', 'secretary', 'lawrence', 'example', 'barrier', 'keith', 'nichols', 'report', 'million', 'plutonium', 'electromagnetic', 'particularly']"
AbelSánchez,1,21,61,"['father', 'mother', 'child', 'santa', 'married', 'fe', 'town', 'dad', 'girl', 'brother', 'kid', 'husband', 'bus', 'road', 'barrack', 'wonderful', 'camp', 'hall', 'sister', 'hill']","['oppenheimer', 'robert', 'teller', 'berkeley', 'princeton', 'inaudible', 'kitty', 'party', 'student', 'letter', 'edward', 'institute', 'hearing', 'oppie', 'science', 'grove', 'lawrence', 'term', 'member', 'perhaps']","['obviously', 'dealing', 'reactor', 'changed', 'technical', 'road', 'learned', 'term', 'flat', 'etc', 'forth', 'contractor', 'various', 'amazing', 'technology', 'badge', 'risk', 'worker', 'authority', 'experiment']"
Abelson,2,18,18,"['grove', 'barrier', 'engineering', 'equipment', 'diffusion', 'metal', 'operation', 'president', 'nichols', 'design', 'committee', 'decision', 'construction', 'york', 'dupont', 'keith', 'lawrence', 'chemical', 'columbia', 'colonel']","['12', 'k', '25', 'town', 'tennessee', '235', 'equipment', 'diffusion', 'engineering', 'training', 'ground', 'grove', '000', 'bus', 'system', 'camera', 'reactor', 'operation', 'tank', 'ship']","['12', 'k', '25', '235', 'diffusion', 'town', 'tennessee', 'reactor', 'isotope', 'gaseous', 'product', 'separation', 'equipment', 'bus', 'chemistry', 'barrier', 'engineering', 'grove', 'production', 'weapon']"
Aberdeen,2,20,62,"['grove', 'barrier', 'engineering', 'equipment', 'diffusion', 'metal', 'operation', 'president', 'nichols', 'design', 'committee', 'decision', 'construction', 'york', 'dupont', 'keith', 'lawrence', 'chemical', 'columbia', 'colonel']","['bell', '000', 'valve', 'land', 'hanford', 'river', 'japanese', 'resource', 'generation', 'native', 'japan', 'columbia', 'mountain', 'cultural', 'culture', 'root', 'animal', 'lost', 'knowledge', 'kid']","['camera', 'explosion', 'film', 'han', 'bos', 'foot', 'plutonium', 'dropped', 'record', 'dorm', 'child', 'apartment', 'trinity', 'learned', 'science', 'door', 'pin', 'mess', 'henry', 'housing']"
Abersold,5,10,17,"['reactor', 'plutonium', 'radiation', 'fuel', 'power', 'hanford', 'design', 'neutron', 'element', 'chemical', 'facility', 'dupont', 'system', 'tube', 'radioactive', 'operation', 'separation', 'level', 'engineering', 'rod']","['chemistry', 'barrier', 'berkeley', 'plutonium', 'columbia', 'chemist', 'lawrence', 'heavy', 'chemical', 'father', 'separation', 'cyclotron', 'method', 'experiment', 'fermi', 'dunning', 'urey', 'science', 'kellex', 'pressure']","['facility', 'reactor', 'neutron', 'source', 'kelly', 'science', 'america', 'russia', 'technology', 'wow', 'term', 'accelerator', 'communist', 'forth', 'example', 'chief', 'civilian', 'useful', 'japan', 'role']"
AberwineIncorporated,4,25,72,"['hanford', 'richland', 'river', 'dupont', 'waste', 'construction', '000', 'reactor', 'land', 'pasco', 'town', 'tank', 'columbia', '00', 'study', 'worker', 'report', 'cleanup', 'camp', 'law']","['hanford', 'reactor', 'dupont', 'waste', 'design', 'plutonium', 'river', 'tank', 'chemical', 'facility', 'separation', 'engineering', 'radiation', 'operation', 'level', 'cleanup', 'cell', 'wilmington', 'construction', 'columbia']","['hanford', 'waste', 'river', 'reactor', 'tank', 'cleanup', 'level', 'environmental', 'radiation', 'facility', 'issue', 'clean', 'plutonium', 'contamination', 'effect', 'national', 'health', 'worker', 'production', '000']"
AbleArcher,6,29,37,"['oppenheimer', 'weapon', 'teller', 'robert', 'science', 'soviet', 'russian', 'student', 'hydrogen', 'term', 'edward', 'berkeley', 'committee', 'president', 'inaudible', 'communist', 'example', 'french', 'party', 'fuchs']","['reactor', 'fuel', 'power', 'weapon', 'system', 'technology', 'electricity', 'generation', 'element', 'pressure', 'national', 'salt', 'gas', 'industry', 'essentially', 'design', 'france', 'light', 'issue', 'ultimately']","['weapon', 'plutonium', 'conant', 'soviet', 'president', 'effort', 'issue', 'decision', 'political', 'oppenheimer', 'france', 'crisis', 'ultimately', 'term', 'policy', 'power', 'committee', 'french', 'plan', 'europe']"
AbrahamFlexner,1,21,49,"['father', 'mother', 'child', 'santa', 'married', 'fe', 'town', 'dad', 'girl', 'brother', 'kid', 'husband', 'bus', 'road', 'barrack', 'wonderful', 'camp', 'hall', 'sister', 'hill']","['oppenheimer', 'robert', 'teller', 'berkeley', 'princeton', 'inaudible', 'kitty', 'party', 'student', 'letter', 'edward', 'institute', 'hearing', 'oppie', 'science', 'grove', 'lawrence', 'term', 'member', 'perhaps']","['oppenheimer', 'robert', 'kitty', 'party', 'frank', 'berkeley', 'communist', 'princeton', 'member', 'letter', 'activity', 'committee', 'died', 'peter', 'relationship', 'union', 'laughter', 'student', 'trouble', 'political']"
AbrahamLincoln,1,13,13,"['father', 'mother', 'child', 'santa', 'married', 'fe', 'town', 'dad', 'girl', 'brother', 'kid', 'husband', 'bus', 'road', 'barrack', 'wonderful', 'camp', 'hall', 'sister', 'hill']","['father', 'mother', 'child', 'dad', 'kid', 'sister', 'parent', 'husband', 'married', 'teacher', 'student', 'died', 'brother', 'son', 'york', 'class', 'grade', 'grandfather', 'wonderful', 'hospital']","['father', 'mother', 'child', 'dad', 'sister', 'parent', 'married', 'kid', 'husband', 'wonderful', 'brother', 'died', 'son', 'grade', 'teacher', 'loved', 'hospital', 'student', 'oppenheimer', 'girl']"
AbrahamMaslow,1,13,13,"['father', 'mother', 'child', 'santa', 'married', 'fe', 'town', 'dad', 'girl', 'brother', 'kid', 'husband', 'bus', 'road', 'barrack', 'wonderful', 'camp', 'hall', 'sister', 'hill']","['father', 'mother', 'child', 'dad', 'kid', 'sister', 'parent', 'husband', 'married', 'teacher', 'student', 'died', 'brother', 'son', 'york', 'class', 'grade', 'grandfather', 'wonderful', 'hospital']","['father', 'mother', 'child', 'dad', 'sister', 'parent', 'married', 'kid', 'husband', 'wonderful', 'brother', 'died', 'son', 'grade', 'teacher', 'loved', 'hospital', 'student', 'oppenheimer', 'girl']"
AbrahamPais,6,21,41,"['oppenheimer', 'weapon', 'teller', 'robert', 'science', 'soviet', 'russian', 'student', 'hydrogen', 'term', 'edward', 'berkeley', 'committee', 'president', 'inaudible', 'communist', 'example', 'french', 'party', 'fuchs']","['oppenheimer', 'robert', 'teller', 'berkeley', 'princeton', 'inaudible', 'kitty', 'party', 'student', 'letter', 'edward', 'institute', 'hearing', 'oppie', 'science', 'grove', 'lawrence', 'term', 'member', 'perhaps']","['oppenheimer', 'berkeley', 'robert', 'princeton', 'peter', 'student', 'kitty', 'hearing', 'inaudible', 'party', 'dr', 'john', 'secretary', 'institute', 'write', 'thirty', 'horse', 'summer', 'richard', 'recall']"
Ace,4,24,9,"['hanford', 'richland', 'river', 'dupont', 'waste', 'construction', '000', 'reactor', 'land', 'pasco', 'town', 'tank', 'columbia', '00', 'study', 'worker', 'report', 'cleanup', 'camp', 'law']","['equipment', 'tube', 'mr', 'c', 'unit', 'sleep', 'division', 'enjoyed', 'dam', 'clean', 'training', 'recall', 'ride', 'charlie', 'dancing', '3', 'power', 'court', 'seemed', 'k']","['santa', 'fe', 'mexico', 'road', 'bus', 'spanish', 'brother', 'mr', 'canyon', 'indian', 'pueblo', 'truck', 'mother', 'albuquerque', 'oppenheimer', 'mail', 'dorothy', 'community', 'kid', 'san']"
Acheson,1,6,7,"['father', 'mother', 'child', 'santa', 'married', 'fe', 'town', 'dad', 'girl', 'brother', 'kid', 'husband', 'bus', 'road', 'barrack', 'wonderful', 'camp', 'hall', 'sister', 'hill']","['weapon', 'teller', 'hydrogen', 'oppenheimer', 'russian', 'soviet', 'fission', 'committee', 'edward', 'thermonuclear', 'design', 'explosive', 'shot', 'neutron', 'yield', 'force', 'plutonium', 'division', 'explosion', 'radiation']","['weapon', 'marshall', 'japanese', 'japan', 'truman', 'grove', 'surrender', 'soviet', 'force', 'invasion', 'bombing', 'bomber', 'german', '1945', 'emperor', 'russian', 'secretary', 'science', 'hiroshima', 'decision']"
Ackerman,1,8,32,"['father', 'mother', 'child', 'santa', 'married', 'fe', 'town', 'dad', 'girl', 'brother', 'kid', 'husband', 'bus', 'road', 'barrack', 'wonderful', 'camp', 'hall', 'sister', 'hill']","['plutonium', 'ship', 'oppenheimer', 'grove', 'laughter', 'trinity', 'chemistry', 'civilian', 'radioactive', 'officer', 'fellow', 'instrument', 'gun', 'explosive', 'dropped', 'leader', 'experiment', 'barrack', 'york', 'division']","['plane', 'mission', 'crew', 'airplane', 'b', 'wendover', 'reunion', 'training', 'tinian', '29', 'pilot', 'flew', 'fly', 'dropped', 'colonel', 'base', 'hiroshima', 'flight', 'flying', 'force']"
Ackley,1,27,57,"['father', 'mother', 'child', 'santa', 'married', 'fe', 'town', 'dad', 'girl', 'brother', 'kid', 'husband', 'bus', 'road', 'barrack', 'wonderful', 'camp', 'hall', 'sister', 'hill']","['girl', 'bus', 'married', 'road', 'food', 'dance', 'badge', 'forth', 'hill', 'hall', 'valley', 'civilian', 'happy', 'santa', 'guard', 'laughter', 'train', 'service', 'mother', 'truck']","['brother', 'explosive', 'dad', 'plutonium', 'george', 'fellow', 'oppenheimer', 'fire', 'fermi', 'mother', 'father', 'chemistry', 'forth', 'sed', 'grove', 'de', 'teller', 'hill', 'rose', 'trinity']"
Adam,1,3,3,"['father', 'mother', 'child', 'santa', 'married', 'fe', 'town', 'dad', 'girl', 'brother', 'kid', 'husband', 'bus', 'road', 'barrack', 'wonderful', 'camp', 'hall', 'sister', 'hill']","['szilard', 'fermi', 'reactor', 'wigner', 'reaction', 'chain', 'science', 'plutonium', 'einstein', 'student', 'enrico', 'leo', 'graphite', 'chemistry', 'letter', 'professor', 'german', 'control', 'dr', 'nobel']","['reactor', 'wigner', 'szilard', 'plutonium', 'engineering', 'hanford', 'design', 'argonne', 'national', 'hospital', 'dupont', 'fermi', 'chemical', 'power', 'chemistry', 'graphite', '10', 'letter', 'reaction', 'science']"
AdamJustinRondinone,1,13,77,"['father', 'mother', 'child', 'santa', 'married', 'fe', 'town', 'dad', 'girl', 'brother', 'kid', 'husband', 'bus', 'road', 'barrack', 'wonderful', 'camp', 'hall', 'sister', 'hill']","['father', 'mother', 'child', 'dad', 'kid', 'sister', 'parent', 'husband', 'married', 'teacher', 'student', 'died', 'brother', 'son', 'york', 'class', 'grade', 'grandfather', 'wonderful', 'hospital']","['eastman', 'dormitory', 'tennessee', 'knoxville', 'hotel', 'train', 'empire', 'alabama', 'cafeteria', 'unit', 'street', 'l', 'operate', 'walked', 'n', 'mr', 'suit', 'white', 'avenue', 'central']"
AdamMondell,1,13,22,"['father', 'mother', 'child', 'santa', 'married', 'fe', 'town', 'dad', 'girl', 'brother', 'kid', 'husband', 'bus', 'road', 'barrack', 'wonderful', 'camp', 'hall', 'sister', 'hill']","['father', 'mother', 'child', 'dad', 'kid', 'sister', 'parent', 'husband', 'married', 'teacher', 'student', 'died', 'brother', 'son', 'york', 'class', 'grade', 'grandfather', 'wonderful', 'hospital']","['community', 'enjoyed', 'grandmother', 'opportunity', 'black', 'father', 'team', 'mother', 'play', 'thirty', 'folk', 'eventually', 'dad', 'learned', 'forth', 'facility', 'construction', 'wonderful', 'played', 'white']"
Adamson,1,27,85,"['father', 'mother', 'child', 'santa', 'married', 'fe', 'town', 'dad', 'girl', 'brother', 'kid', 'husband', 'bus', 'road', 'barrack', 'wonderful', 'camp', 'hall', 'sister', 'hill']","['girl', 'bus', 'married', 'road', 'food', 'dance', 'badge', 'forth', 'hill', 'hall', 'valley', 'civilian', 'happy', 'santa', 'guard', 'laughter', 'train', 'service', 'mother', 'truck']","['unit', 'lunch', 'hall', 'mess', 'chemistry', 'box', 'ohio', 'summer', 'record', 'civilian', 'food', 'meat', 'division', 'bus', 'mother', 'radiation', 'girl', 'egg', 'forget', 'seven']"
Adele,1,13,13,"['father', 'mother', 'child', 'santa', 'married', 'fe', 'town', 'dad', 'girl', 'brother', 'kid', 'husband', 'bus', 'road', 'barrack', 'wonderful', 'camp', 'hall', 'sister', 'hill']","['father', 'mother', 'child', 'dad', 'kid', 'sister', 'parent', 'husband', 'married', 'teacher', 'student', 'died', 'brother', 'son', 'york', 'class', 'grade', 'grandfather', 'wonderful', 'hospital']","['father', 'mother', 'child', 'dad', 'sister', 'parent', 'married', 'kid', 'husband', 'wonderful', 'brother', 'died', 'son', 'grade', 'teacher', 'loved', 'hospital', 'student', 'oppenheimer', 'girl']"
AdeleGoldstine,6,16,65,"['oppenheimer', 'weapon', 'teller', 'robert', 'science', 'soviet', 'russian', 'student', 'hydrogen', 'term', 'edward', 'berkeley', 'committee', 'president', 'inaudible', 'communist', 'example', 'french', 'party', 'fuchs']","['grove', 'engineering', 'dupont', 'nichols', 'colonel', 'district', 'committee', 'president', 'barrier', 'keith', 'construction', 'mr', 'officer', 'decision', 'design', 'york', '000', 'operation', 'diffusion', 'organization']","['oppenheimer', 'teller', 'weapon', 'hydrogen', 'russian', 'edward', 'committee', 'bethe', 'fission', 'implosion', 'thermonuclear', 'force', 'shot', 'ulam', 'radiation', 'calculation', 'design', 'clear', 'soviet', 'oppie']"
AdeleTometich,1,9,9,"['father', 'mother', 'child', 'santa', 'married', 'fe', 'town', 'dad', 'girl', 'brother', 'kid', 'husband', 'bus', 'road', 'barrack', 'wonderful', 'camp', 'hall', 'sister', 'hill']","['santa', 'fe', 'dorothy', 'hotel', 'mexico', 'bus', 'brother', 'la', 'wonderful', 'fonda', 'oppenheimer', 'mckibbin', 'community', 'indian', 'barrack', 'hill', 'road', 'town', 'east', 'palace']","['santa', 'fe', 'mexico', 'road', 'bus', 'spanish', 'brother', 'mr', 'canyon', 'indian', 'pueblo', 'truck', 'mother', 'albuquerque', 'oppenheimer', 'mail', 'dorothy', 'community', 'kid', 'san']"
AdlaiStevenson,6,7,13,"['oppenheimer', 'weapon', 'teller', 'robert', 'science', 'soviet', 'russian', 'student', 'hydrogen', 'term', 'edward', 'berkeley', 'committee', 'president', 'inaudible', 'communist', 'example', 'french', 'party', 'fuchs']","['japanese', 'japan', 'weapon', 'hiroshima', 'truman', 'grove', 'soviet', 'surrender', 'nagasaki', '1945', 'decision', 'marshall', 'bombing', 'atom', 'invasion', '000', 'plutonium', 'emperor', 'germany', 'force']","['father', 'mother', 'child', 'dad', 'sister', 'parent', 'married', 'kid', 'husband', 'wonderful', 'brother', 'died', 'son', 'grade', 'teacher', 'loved', 'hospital', 'student', 'oppenheimer', 'girl']"
